activity_id,start_latitude,start_longitude,end_latitude,end_longitude,travel_purpose,start_time,end_time,duration_minutes,distance_miles,start_hour,same_place
7.652907910417991e+18,42.369628000000006,-71.1114,42.370441,-71.113709,EAT,2023-06-26 06:51:34,2023-06-26 06:53:27,1,0.09758403353279199,6,No
5.829939042239306e+18,42.369859000000005,-71.06882399999999,42.363363,-71.10085,EAT,2023-06-26 06:53:05,2023-06-26 07:14:55,21,1.766169099199385,6,No
1.3622040619955057e+19,42.365675,-71.103734,42.3593401576061,-71.10874213779498,EAT,2023-06-26 06:53:18,2023-06-26 06:55:19,2,0.81440072397994,6,No
5.920073531216417e+18,42.365675,-71.103734,42.3622204842993,-71.11006461032439,EAT,2023-06-26 06:53:18,2023-06-26 06:54:49,1,0.5187197032491281,6,No
1.810253274363922e+19,42.365675,-71.103734,42.382449,-71.120062,EAT,2023-06-26 06:54:20,2023-06-26 07:10:54,16,1.611043899441166,6,No
1.151254053669854e+19,42.361649,-71.09047,42.373902,-71.119647,EAT,2023-06-26 06:56:08,2023-06-26 07:02:18,6,2.8729785274708077,6,No
4.533953711963748e+18,42.359066,-71.09474399999999,42.376861498504326,-71.11090681625105,EAT,2023-06-26 07:01:26,2023-06-26 07:06:11,4,2.038233542990782,7,No
1.0373835678351372e+19,42.384488,-71.11983000000001,42.39165921427147,-71.12459075067973,EAT,2023-06-26 07:01:29,2023-06-26 07:13:58,12,0.6469992588638931,7,No
2.6855463825376026e+18,42.369725,-71.111874,42.37085356321967,-71.11123782378961,EAT,2023-06-26 07:01:44,2023-06-26 07:03:21,1,0.084301198288764,7,No
1.5680186411854148e+19,42.366069,-71.105366,42.35989309081234,-71.10851076316062,EAT,2023-06-26 07:02:39,2023-06-26 07:04:24,1,0.6254731731431701,7,No
1.515931038618544e+19,42.361649,-71.09047,42.364979,-71.102604,EAT,2023-06-26 07:03:48,2023-06-26 07:32:12,28,1.463837265051196,7,No
1.055933920053845e+19,42.388049,-71.119664,42.3914255039814,-71.12552699370852,EAT,2023-06-26 07:05:07,2023-06-26 07:06:45,1,0.6847467078919911,7,No
9.807123721390115e+18,42.388049,-71.119664,42.3914255039814,-71.12552699370852,EAT,2023-06-26 07:05:07,2023-06-26 07:25:54,20,1.076298477548502,7,No
6.52676086037619e+18,42.361649,-71.09047,42.360184999999994,-71.094321,EAT,2023-06-26 07:06:28,2023-06-26 07:19:04,12,0.649343795340901,7,No
1.1750495023922903e+19,42.359066,-71.09474399999999,42.354988,-71.103274,EAT,2023-06-26 07:08:00,2023-06-26 07:10:54,2,0.203694747079332,7,No
1.4235851631445844e+19,42.372246000000004,-71.07982,42.37089464352014,-71.08308581583661,EAT,2023-06-26 07:08:41,2023-06-26 07:11:16,2,0.13383480771821202,7,No
6.005562251513016e+18,42.372246000000004,-71.07982,42.37212869203793,-71.08687126632191,EAT,2023-06-26 07:08:41,2023-06-26 07:09:59,1,0.4858809068477461,7,No
2.1445019700614564e+18,42.366646,-71.086437,42.367721,-71.085187,EAT,2023-06-26 07:09:22,2023-06-26 07:12:08,2,0.143636139228613,7,No
1.3169835090255542e+19,42.365028,-71.102423,42.37635785612737,-71.15260987924927,EAT,2023-06-26 07:10:37,2023-06-26 07:18:27,7,3.3516580400774867,7,No
5.922391161764978e+18,42.367958,-71.090294,42.368079502605674,-71.09139154675698,EAT,2023-06-26 07:11:09,2023-06-26 07:12:50,1,0.08746144407886301,7,No
5.135155329952385e+17,42.390043,-71.118227,42.383793919015694,-71.12717196578609,EAT,2023-06-26 07:11:27,2023-06-26 07:25:09,13,0.7096204402358208,7,No
7.538520916098116e+18,42.390043,-71.118227,42.388472876997795,-71.12108418685725,EAT,2023-06-26 07:11:27,2023-06-26 07:14:36,3,0.163487717302806,7,No
3.6944869583065257e+18,42.390043,-71.118227,42.382084151750384,-71.13962122014271,EAT,2023-06-26 07:11:27,2023-06-26 07:16:21,4,2.309001615333393,7,No
1.5339699494665994e+18,42.390043,-71.118227,42.375783330506465,-71.13066981615543,EAT,2023-06-26 07:11:27,2023-06-26 07:20:52,9,1.6799682650037262,7,No
1.383025716797108e+19,42.389362,-71.119548,42.38028815516326,-71.12023851696406,EAT,2023-06-26 07:11:27,2023-06-26 07:28:30,17,0.883386390063103,7,No
7.142430752639708e+18,42.372440999999995,-71.118977,42.38190048815118,-71.11801518056453,EAT,2023-06-26 07:11:44,2023-06-26 07:26:02,14,0.740750140751228,7,No
4.532462511960159e+18,42.365244,-71.08233299999999,42.36467240318265,-71.08384421052558,EAT,2023-06-26 07:15:08,2023-06-26 07:16:18,1,0.06125231511527701,7,No
1.5656336229307404e+19,42.384488,-71.11983000000001,42.382449,-71.120062,EAT,2023-06-26 07:16:20,2023-06-26 07:20:29,4,0.21546992893868505,7,No
1.4149993042479817e+19,42.390043,-71.118227,42.38929486455185,-71.12834461992232,EAT,2023-06-26 07:17:11,2023-06-26 07:28:25,11,0.5822302218122261,7,No
8.700506232729321e+18,42.390043,-71.118227,42.358554999999996,-71.104159,EAT,2023-06-26 07:19:08,2023-06-26 07:26:57,7,3.4033470622068704,7,No
1.367331198591843e+19,42.365244,-71.08233299999999,42.36861298351221,-71.07997877345791,EAT,2023-06-26 07:19:25,2023-06-26 07:20:41,1,0.552048507141076,7,No
8.776868602912289e+17,42.37175,-71.084037,42.370582,-71.0773,EAT,2023-06-26 07:20:18,2023-06-26 07:30:05,9,0.506811025066377,7,No
1.743143496338193e+19,42.367958,-71.090294,42.37203905633586,-71.0896139065517,EAT,2023-06-26 07:22:00,2023-06-26 07:23:09,1,0.05986056945490401,7,No
1.4872124285668989e+19,42.359757,-71.101863,42.35878010254415,-71.10139658812798,EAT,2023-06-26 07:22:00,2023-06-26 07:26:48,4,0.24881629055884305,7,No
9.09690417833605e+18,42.384488,-71.11983000000001,42.381824145395214,-71.13625879551151,EAT,2023-06-26 07:22:19,2023-06-26 07:25:44,3,1.702699746220031,7,No
1.401928555011877e+19,42.370698,-71.113341,42.37081,-71.114182,EAT,2023-06-26 07:22:44,2023-06-26 07:25:47,3,0.15863475196588,7,No
1.4301957932592484e+18,42.390043,-71.118227,42.381604585019616,-71.11250047624266,EAT,2023-06-26 07:23:15,2023-06-26 07:25:11,1,0.7251022508123901,7,No
8.752815294075478e+18,42.365244,-71.08233299999999,42.366778000000004,-71.074993,EAT,2023-06-26 07:24:27,2023-06-26 07:36:19,11,0.6152111648568961,7,No
9.375984759521094e+18,42.361649,-71.09047,42.367994,-71.075304,EAT,2023-06-26 07:24:27,2023-06-26 07:38:23,13,2.470689439407601,7,No
2.342073464989679e+18,42.390043,-71.118227,42.388622999999995,-71.122231,EAT,2023-06-26 07:25:04,2023-06-26 07:26:33,1,0.5221626081235701,7,No
1.1257710608557111e+19,42.365551,-71.09015699999999,42.3829128029466,-71.11348202904455,EAT,2023-06-26 07:25:53,2023-06-26 07:31:49,5,2.5541805268208253,7,No
1.3120490280827848e+18,42.365551,-71.09015699999999,42.38286040058304,-71.11424017817251,EAT,2023-06-26 07:25:53,2023-06-26 07:45:02,19,3.4054032163507713,7,No
3.7354007082317834e+18,42.386094,-71.119577,42.38261730663498,-71.12980061045744,EAT,2023-06-26 07:26:12,2023-06-26 07:28:33,2,0.8993494932116299,7,No
8.888621976266957e+18,42.362782,-71.09388,42.363787921909505,-71.09726591765491,EAT,2023-06-26 07:27:37,2023-06-26 07:28:58,1,0.06999784475763801,7,No
1.4005885318180356e+19,42.365028,-71.102423,42.363392,-71.101431,EAT,2023-06-26 07:28:32,2023-06-26 07:36:21,7,0.405013960571768,7,No
5.79137906830092e+18,42.365028,-71.102423,42.36012180914797,-71.10589166452678,EAT,2023-06-26 07:28:32,2023-06-26 07:37:59,9,0.489873366363097,7,No
6.025188388598701e+18,42.369725,-71.111874,42.3691123332089,-71.09236513241287,EAT,2023-06-26 07:28:41,2023-06-26 07:46:16,17,1.426375675125763,7,No
7.206460917089548e+18,42.390043,-71.118227,42.38947724797541,-71.1232110028987,EAT,2023-06-26 07:30:30,2023-06-26 07:32:55,2,0.12514741562796702,7,No
1.7187108159538704e+19,42.361649,-71.09047,42.39656398072348,-71.12870704250382,EAT,2023-06-26 07:30:30,2023-06-26 07:39:46,9,3.9301040567196073,7,No
8.823886257595317e+18,42.366069,-71.105366,42.361287822280396,-71.10660002736853,EAT,2023-06-26 07:31:37,2023-06-26 07:33:13,1,0.5045598357930691,7,No
6.565435436760508e+18,42.366069,-71.105366,42.35982319299272,-71.11062094439481,EAT,2023-06-26 07:31:37,2023-06-26 07:33:22,1,0.6195808249726661,7,No
1.4913628315932006e+19,42.366069,-71.105366,42.361786550992825,-71.1067205926015,EAT,2023-06-26 07:31:37,2023-06-26 07:39:41,8,0.418098730053507,7,No
1.0114118453047878e+19,42.363335,-71.100716,42.358764,-71.09635899999999,EAT,2023-06-26 07:34:51,2023-06-26 07:36:36,1,0.6168613063244219,7,No
3.8702590834006815e+18,42.360789000000004,-71.096565,42.363191,-71.104569,EAT,2023-06-26 07:34:53,2023-06-26 07:36:31,1,0.5574800576680391,7,No
2.84201797481175e+18,42.360789000000004,-71.096565,42.363191,-71.104569,EAT,2023-06-26 07:34:53,2023-06-26 07:48:32,13,0.7068971599164481,7,No
1.3937063102731084e+19,42.362782,-71.09388,42.370881749083246,-71.11271641806984,EAT,2023-06-26 07:35:25,2023-06-26 07:38:56,3,1.5432213629508489,7,No
1.5072851932392049e+19,42.390043,-71.118227,42.375810438693364,-71.1078263512815,EAT,2023-06-26 07:35:25,2023-06-26 08:13:39,38,1.9798837821942552,7,No
1.1561849432052963e+19,42.360789000000004,-71.096565,42.373450535716565,-71.11234333685205,EAT,2023-06-26 07:35:25,2023-06-26 07:39:20,3,1.6807268752811482,7,No
1.1923299811239635e+19,42.360789000000004,-71.096565,42.37542482926445,-71.11181147612719,EAT,2023-06-26 07:35:25,2023-06-26 07:41:21,5,2.215310011714471,7,No
1.0517078258361778e+19,42.365028,-71.102423,42.367350373366754,-71.09832047333092,EAT,2023-06-26 07:37:04,2023-06-26 07:41:03,3,0.7428939083488231,7,No
3.705204065325249e+17,42.384488,-71.11983000000001,42.38283064190826,-71.1138533556258,EAT,2023-06-26 07:37:38,2023-06-26 07:38:45,1,0.4064009405417181,7,No
1.659936421738231e+19,42.366069,-71.105366,42.373450535716565,-71.11234333685205,EAT,2023-06-26 07:37:38,2023-06-26 07:39:49,2,0.810642573506933,7,No
1.5418661047957283e+19,42.373387,-71.094985,42.374013921579845,-71.09681573167741,EAT,2023-06-26 07:40:00,2023-06-26 07:42:37,2,0.13633536811042102,7,No
1.5513759209416087e+18,42.362782,-71.09388,42.37746801335261,-71.1451859871748,EAT,2023-06-26 07:41:47,2023-06-26 07:49:38,7,3.5929434529716633,7,No
1.0562787526511503e+19,42.369371,-71.077051,42.36889396163252,-71.09346010728432,EAT,2023-06-26 07:42:57,2023-06-26 07:48:31,5,2.2325905773618833,7,No
1.4127139568838355e+19,42.369371,-71.077051,42.36456938807885,-71.11472539785159,EAT,2023-06-26 07:43:09,2023-06-26 07:49:00,5,3.1460631292207517,7,No
4.0812751385193073e+18,42.373178,-71.095437,42.37388286133628,-71.0960500479208,EAT,2023-06-26 07:44:00,2023-06-26 07:45:43,1,0.08946963899386401,7,No
