tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time
767390,2019-10-10 00:50:49.3830,2019-10-18 22:00:40.1990,47,Cross St at Hanover St,42.362811,-71.056067,1,18 Dorrance Warehouse,42.387151,-71.075978,3207,Customer,1969,0,245978,-71.0532027812801,42.364092135911896,116224,-71.07872956463136,42.385524923335275,3049.0,770440.0
539,2019-10-10 00:51:39.4020,2019-10-10 01:00:38.6320,369,Boston Public Market,42.36254854409333,-71.05737358331679,98,Warren St at Chelsea St,42.371848,-71.060292,5833,Subscriber,1980,2,255514,-71.0558705449268,42.36330367385544,92318,-71.06102572328477,42.372573565442956,3099.0,3638.0
486,2019-10-10 00:51:58.4210,2019-10-10 01:00:05.0290,338,Commonwealth Ave at Kelton St,42.34835862817045,-71.13997217276847,8,Union Square - Brighton Ave at Cambridge St,42.353334000000004,-71.137313,3673,Customer,1997,1,1560,-71.1411093727308,42.349296312723475,183879,-71.13895535,42.35476249999999,3118.0,3605.0
1799,2019-10-10 00:54:16.2720,2019-10-10 01:24:16.0220,273,Forest Hills,42.300923,-71.114249,170,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347,4787,Customer,1969,0,178171,-71.1118936829035,42.29982767070217,29824,-71.08220866338046,42.303076637104404,3256.0,5056.0
1797,2019-10-10 00:54:32.7630,2019-10-10 01:24:30.1400,273,Forest Hills,42.300923,-71.114249,170,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347,3492,Customer,1969,0,162723,-71.11108532873241,42.30013277916706,28816,-71.08271230267633,42.30460876634094,3272.0,5070.0
2606,2019-10-10 00:58:53.9230,2019-10-10 01:42:20.0310,331,Huntington Ave at Mass Art,42.33658555456115,-71.0988699646623,379,Tremont St at W. Dedham St,42.34254913737952,-71.07421449387857,2956,Subscriber,2001,1,90855,-71.09623291380971,42.335064948073665,126695,-71.07227198522031,42.343885250879005,3533.0,6140.0
150,2019-10-10 00:59:11.5120,2019-10-10 01:01:41.5760,12,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624444796878,-71.08798563480376,200,Washington St at Melnea Cass Blvd,42.332817,-71.081198,3704,Subscriber,1997,1,157609,-71.08601605197389,42.33415395092922,216336,-71.08058394999999,42.3340354,3551.0,3701.0
1335,2019-10-10 00:59:48.6420,2019-10-10 01:22:03.9070,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.3436658245146,-71.08582377433777,70,Harvard Kennedy School at Bennett St / Eliot St,42.3722168027866,-71.12188071012497,5362,Customer,2000,2,260676,-71.08452789477148,42.34272028699579,118259,-71.12261244999999,42.37277255,3588.0,4923.0
1323,2019-10-10 00:59:52.1520,2019-10-10 01:21:56.1250,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.3436658245146,-71.08582377433777,70,Harvard Kennedy School at Bennett St / Eliot St,42.3722168027866,-71.12188071012497,5987,Customer,1994,1,248444,-71.08282679506873,42.34297178692653,134390,-71.12425672541727,42.37299526733493,3592.0,4916.0
1294,2019-10-10 01:00:39.4040,2019-10-10 01:22:13.9780,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.3436658245146,-71.08582377433777,70,Harvard Kennedy School at Bennett St / Eliot St,42.3722168027866,-71.12188071012497,4943,Customer,2001,1,43922,-71.08780449501697,42.34402058149977,257109,-71.12148988862974,42.37240217729738,3639.0,4933.0
1286,2019-10-10 01:00:50.7140,2019-10-10 01:22:17.2270,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.3436658245146,-71.08582377433777,70,Harvard Kennedy School at Bennett St / Eliot St,42.3722168027866,-71.12188071012497,5691,Customer,2001,1,202652,-71.08734802781716,42.341298167655516,96548,-71.12174330109976,42.374892960013035,3650.0,4937.0
1333,2019-10-10 01:01:51.8100,2019-10-10 01:24:05.7420,273,Forest Hills,42.300923,-71.114249,170,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347,5469,Customer,1969,0,179492,-71.11209582800741,42.29902643077583,54503,-71.08322963559581,42.30174798831381,3711.0,5045.0
302,2019-10-10 01:02:20.0890,2019-10-10 01:07:22.9100,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,330,30 Dane St,42.38100143038053,-71.10402522613184,2955,Subscriber,1993,1,17102,-71.10942127496337,42.37502060743176,6238,-71.10371354554854,42.38305095563132,3740.0,4042.0
252,2019-10-10 01:03:03.9300,2019-10-10 01:07:16.2580,12,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624444796878,-71.08798563480376,27,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,5565,Subscriber,1995,1,99116,-71.08445764742237,42.335640379125564,154818,-71.09227404999999,42.33039060000001,3783.0,4036.0
230,2019-10-10 01:03:57.9580,2019-10-10 01:07:48.5270,5,Northeastern University - North Parking Lot,42.341814,-71.090179,364,Tremont St at Northampton St,42.33889559644165,-71.08149975611012,4936,Subscriber,1996,1,396,-71.0873962,42.34266085000001,90753,-71.08424043965249,42.33824697366068,3837.0,4068.0
858,2019-10-10 01:04:14.3670,2019-10-10 01:18:32.5250,361,Deerfield St at Commonwealth Ave,42.349243769553006,-71.09728209692548,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,2970,Subscriber,2000,1,169,-71.09803039763692,42.350521595293195,138357,-71.10334199608523,42.36275519126627,3854.0,4712.0
373,2019-10-10 01:06:52.9340,2019-10-10 01:13:06.6420,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,363,Harrison Ave at Mullins Way,42.34521562115022,-71.0638403149278,5719,Subscriber,1980,1,246620,-71.05575916231784,42.3511833349875,251277,-71.06430532560539,42.34332848799506,4012.0,4386.0
613,2019-10-10 01:07:31.9750,2019-10-10 01:17:44.9900,12,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624444796878,-71.08798563480376,282,Stony Brook T Stop,42.316966,-71.10437399999999,5764,Customer,1997,1,248531,-71.08629380617973,42.33703777825085,116047,-71.10171497043126,42.31540804566558,4051.0,4664.0
438,2019-10-10 01:07:40.1010,2019-10-10 01:14:58.5790,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426000000004,-71.10549499999999,5778,Customer,1969,0,30516,-71.09801134023586,42.360120672733736,178713,-71.10459595148262,42.36393001636135,4060.0,4498.0
853,2019-10-10 01:10:17.3130,2019-10-10 01:24:30.3500,236,Assembly Square T,42.39223284004628,-71.07746601104736,194,Broadway St at Mt Pleasant St,42.38614141163957,-71.07828140258789,3663,Customer,1991,1,253,-71.07841277670622,42.39480168623352,65373,-71.07761932840386,42.38794237902011,4217.0,5070.0
1441,2019-10-10 01:14:09.8520,2019-10-10 01:38:11.7460,161,W Broadway at D St,42.3391085,-71.05144320000001,368,Blue Hill Ave at Southwood St,42.31786020589988,-71.07798628527235,2266,Customer,1969,0,73813,-71.05053988418237,42.34080679593303,189100,-71.07647996192605,42.31600037952465,4449.0,5891.0
193,2019-10-10 01:15:03.8760,2019-10-10 01:18:17.3550,39,Washington St at Rutland St,42.338514601785995,-71.07404083013535,26,Washington St at Waltham St,42.3415598497246,-71.06886953115462,3800,Customer,1970,1,254170,-71.0767654576842,42.33966317091144,251050,-71.06967862487727,42.34389993059457,4503.0,4697.0
683,2019-10-10 01:17:13.6590,2019-10-10 01:28:37.2170,55,Boylston St at Massachusetts Ave,42.347265,-71.088088,30,Brigham Circle - Francis St at Huntington Ave,42.33462893055976,-71.10407917767589,3576,Customer,1969,0,454,-71.08857975,42.3446178,167290,-71.10512875,42.3323645,4633.0,5317.0
207,2019-10-10 01:18:08.8760,2019-10-10 01:21:36.5780,53,Beacon St at Massachusetts Ave,42.350826806690954,-71.0898108780384,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,2099,Subscriber,2000,1,247326,-71.08871088369762,42.35079243755633,201802,-71.09254897348596,42.3599494196543,4688.0,4896.0
440,2019-10-10 01:18:49.7680,2019-10-10 01:26:09.9750,54,Tremont St at West St,42.354979,-71.063348,222,Troy Boston,42.343749,-71.062256,3921,Customer,1996,1,246245,-71.0607070998322,42.35567339719985,214086,-71.0591206,42.34241945,4729.0,5169.0
242,2019-10-10 01:20:08.1880,2019-10-10 01:24:10.2710,52,Newbury St at Hereford St,42.348717,-71.085954,33,Kenmore Square,42.348706,-71.097009,3644,Subscriber,1997,2,248037,-71.08407241610637,42.34984747842814,1303,-71.09875255,42.3504174,4808.0,5050.0
488,2019-10-10 01:22:45.2960,2019-10-10 01:30:53.6480,273,Forest Hills,42.300923,-71.114249,341,Roslindale Village - Washington St,42.28630716010807,-71.12820532182013,2410,Customer,1969,0,56603,-71.11258881756649,42.299769241732875,83186,-71.1288944520191,42.284910147845785,4965.0,5453.0
112,2019-10-10 01:23:52.3890,2019-10-10 01:25:45.0540,53,Beacon St at Massachusetts Ave,42.350826806690954,-71.0898108780384,55,Boylston St at Massachusetts Ave,42.347265,-71.088088,4403,Subscriber,1998,2,248322,-71.0886990700801,42.34860802053621,259399,-71.08882910291335,42.346713246390166,5032.0,5145.0
1289,2019-10-10 01:25:25.4280,2019-10-10 01:46:54.7560,187,Cypress St at Clark Playground,42.32784317478686,-71.1253622174263,107,Ames St at Main St,42.3625,-71.08821999999999,3995,Subscriber,1973,1,135794,-71.12515945,42.32693125000001,203988,-71.08749692110744,42.36175462581353,5125.0,6414.0
511,2019-10-10 01:27:47.1850,2019-10-10 01:36:19.1000,185,Third at Binney,42.365444861373994,-71.0827714204788,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,2451,Subscriber,1998,1,225056,-71.08310551915746,42.36328911574805,41556,-71.09580711302365,42.356682935493545,5267.0,5779.0
881,2019-10-10 01:30:41.6130,2019-10-10 01:45:23.4180,70,Harvard Kennedy School at Bennett St / Eliot St,42.3722168027866,-71.12188071012497,77,Somerville City Hall,42.386844,-71.09812,5691,Subscriber,1982,1,96604,-71.12041122546928,42.37193927534749,19984,-71.09719005336927,42.38944498786979,5441.0,6323.0
360,2019-10-10 01:30:44.7820,2019-10-10 01:36:45.0480,420,Charles St at Pinckney St,42.358725304621636,-71.07079532006537,370,Dartmouth St at Newbury St,42.35096144421219,-71.07782810926437,5188,Subscriber,1995,1,250080,-71.06937364189966,42.35735646534262,247966,-71.07489125,42.3523199,5444.0,5805.0
594,2019-10-10 01:32:32.3770,2019-10-10 01:42:27.1150,20,Aquarium T Stop - 200 Atlantic Ave,42.35991176110118,-71.0514298081398,157,Seaport Blvd at Sleeper St,42.353178091862524,-71.04817356923377,4349,Subscriber,1991,1,213484,-71.0516915328795,42.35750326288598,257142,-71.04784625811956,42.35115809059252,5552.0,6147.0
1038,2019-10-10 01:32:44.0190,2019-10-10 01:50:02.6370,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171065,331,Huntington Ave at Mass Art,42.33658555456115,-71.0988699646623,6128,Subscriber,1982,1,126125,-71.09870157302491,42.3642851570204,123750,-71.09607337743357,42.33718269718002,5564.0,6602.0
1117,2019-10-10 01:32:53.2330,2019-10-10 01:51:30.2870,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,66,Allston Green District - Griggs St at Commonwealth Ave,42.34922469338298,-71.13275302578586,3226,Subscriber,1996,1,185447,-71.09447537278793,42.37412016977037,30917,-71.13068352082507,42.348344033180766,5573.0,6690.0
1005,2019-10-10 01:34:02.3890,2019-10-10 01:50:48.2650,331,Huntington Ave at Mass Art,42.33658555456115,-71.0988699646623,59,Chinatown Gate Plaza,42.351356,-71.05936700000001,3716,Subscriber,1973,2,31,-71.101455637244,42.33604107580671,256883,-71.05763411605142,42.3514569353907,5642.0,6648.0
282,2019-10-10 01:34:24.5120,2019-10-10 01:39:07.0690,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,74,Harvard Square at Mass Ave/ Dunster,42.373267999999996,-71.118579,2980,Customer,1969,0,120276,-71.12542078988976,42.378044832431726,184066,-71.11828855,42.37444275000001,5664.0,5947.0
