tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time,withinC,withinCend
353,2019-10-10 07:36:06.4070,2019-10-10 07:42:00.4030,179,MIT Vassar St,42.35560121327927,-71.10394477844237,189,Kendall T,42.362427842912396,-71.08495473861693,6018,Subscriber,1991,1,30984,-71.10750123086919,42.356080273341725,203985,-71.08662682386243,42.36103454178034,27366.0,27720.0,True,True
921,2019-10-10 07:36:42.6970,2019-10-10 07:52:03.8810,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,5749,Subscriber,1983,1,135086,-71.1311906,42.399295,136851,-71.10146895,42.36610579999999,27402.0,28323.0,True,True
543,2019-10-10 07:37:44.0240,2019-10-10 07:46:47.4560,99,Wilson Square,42.385582,-71.113341,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,6026,Customer,1996,1,57745,-71.114753277275,42.38334894334453,15401,-71.12406254798684,42.37930818258828,27464.0,28007.0,True,True
593,2019-10-10 07:37:54.5330,2019-10-10 07:47:47.6150,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171065,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,5715,Subscriber,1976,1,225177,-71.1001128446312,42.365668386891755,156748,-71.09286534793645,42.3677572322416,27474.0,28067.0,True,True
687,2019-10-10 07:38:27.4420,2019-10-10 07:49:55.1880,189,Kendall T,42.362427842912396,-71.08495473861693,184,Sidney Research Campus/ Erie Street at Waverly,42.35775309465199,-71.10393404960631,3277,Subscriber,1975,1,225269,-71.08435148284433,42.36380294338639,162628,-71.10057880000002,42.35761155,27507.0,28195.0,True,True
340,2019-10-10 07:40:10.9570,2019-10-10 07:45:51.1130,179,MIT Vassar St,42.35560121327927,-71.10394477844237,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,3088,Subscriber,1990,1,55462,-71.10540071292245,42.357601544979964,202854,-71.0965234522309,42.35858321065092,27610.0,27951.0,True,True
762,2019-10-10 07:40:25.0030,2019-10-10 07:53:07.8760,145,Rindge Avenue - O'Neill Library,42.392766,-71.129042,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,6028,Subscriber,1984,2,37704,-71.12953641688084,42.39169087004068,6740,-71.11994498044444,42.371550907798586,27625.0,28387.0,True,True
148,2019-10-10 07:41:19.1390,2019-10-10 07:43:48.0280,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.10549499999998,4874,Subscriber,1989,1,7672,-71.10397921554939,42.370940554950316,34087,-71.1061394232844,42.368028156522065,27679.0,27828.0,True,True
570,2019-10-10 07:41:57.6010,2019-10-10 07:51:27.8160,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,189,Kendall T,42.362427842912396,-71.08495473861693,5150,Subscriber,1991,1,202843,-71.09789399521027,42.35962955378768,203987,-71.0876316643143,42.36084451618819,27717.0,28287.0,True,True
281,2019-10-10 07:41:58.9540,2019-10-10 07:46:40.3960,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191316,2338,Subscriber,1995,2,85404,-71.10165178318546,42.3657415476791,65922,-71.09738483302908,42.370663467745345,27718.0,28000.0,True,True
