tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time,withinC,withinCend
277,56:51.8,01:28.9,335,Harvard St at Greene-Rose Heritage Park,42.36599433,-71.09522222,189,Kendall T,42.36242784,-71.08495474,3989,Subscriber,1996,1,20743,-71.09492274,42.36779171,259926,-71.0827925,42.36264191,25011,25288,TRUE,TRUE
401,58:19.1,05:00.5,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119728,-71.09759867,189,Kendall T,42.36242784,-71.08495474,5354,Subscriber,1993,2,102830,-71.09751115,42.37285607,202849,-71.08585858,42.3621407,25099,25500,TRUE,TRUE
847,58:36.3,12:43.5,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919032,-71.11714125,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,5275,Subscriber,1990,1,225721,-71.11515981,42.36962403,4323,-71.09477063,42.35904934,25116,25963,TRUE,TRUE
412,59:28.8,06:21.7,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919032,-71.11714125,2405,Subscriber,1996,1,119460,-71.12579437,42.38057615,96622,-71.11645397,42.37004871,25168,25581,TRUE,TRUE
484,59:53.3,07:57.9,437,Berkshire Street at Cambridge Street,42.37207658,-71.08995434,189,Kendall T,42.36242784,-71.08495474,4157,Subscriber,1997,1,102797,-71.08896607,42.37366541,203474,-71.08617738,42.36479214,25193,25677,TRUE,TRUE
422,01:18.6,08:20.7,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,189,Kendall T,42.36242784,-71.08495474,3184,Subscriber,1994,1,28084,-71.0987204,42.36003573,101528,-71.08748081,42.36280808,25278,25700,TRUE,TRUE
474,01:57.9,09:52.3,70,Harvard Kennedy School at Bennett St / Eliot St,42.3722168,-71.12188071,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,5940,Subscriber,1972,2,55703,-71.12418226,42.37424147,7688,-71.1015997,42.37054645,25317,25792,TRUE,TRUE
213,03:22.9,06:56.4,189,Kendall T,42.36242784,-71.08495474,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,3989,Subscriber,1992,1,259920,-71.08765373,42.36325299,20710,-71.09138251,42.3687653,25402,25616,TRUE,TRUE
390,04:07.6,10:38.2,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,107,Ames St at Main St,42.3625,-71.08822,5160,Subscriber,1988,1,34543,-71.10199387,42.36758715,246684,-71.09098619,42.36326769,25447,25838,TRUE,TRUE
196,04:29.3,07:46.0,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,6044,Subscriber,1989,1,88527,-71.10642293,42.37176082,32506,-71.1085523,42.36514433,25469,25666,TRUE,TRUE
282,05:38.8,10:21.8,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,5466,Subscriber,1990,2,185584,-71.10613259,42.36860877,120280,-71.09982813,42.36617649,25538,25821,TRUE,TRUE
245,06:59.2,11:04.8,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,3225,Subscriber,1994,1,6726,-71.1020258,42.37169731,159806,-71.10502809,42.36339407,25619,25864,TRUE,TRUE
273,07:22.3,11:56.1,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,4362,Subscriber,1994,1,63,-71.1067513,42.36674348,118631,-71.11606415,42.37489285,25642,25916,TRUE,TRUE
1279,07:48.1,29:07.6,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,3142,Subscriber,1975,1,37594,-71.11133853,42.36769717,167949,-71.10332732,42.36354604,25668,26947,TRUE,TRUE
275,09:30.1,14:05.8,318,Ames St at Broadway,42.3636929,-71.0875672,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,3423,Subscriber,1995,1,259928,-71.08703295,42.36499122,167016,-71.10264618,42.36366084,25770,26045,TRUE,TRUE
370,11:09.2,17:19.2,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,398,75 Binney St,42.36550729,-71.0801376,4980,Subscriber,1960,1,20631,-71.07633012,42.37017384,153408,-71.07797472,42.36706666,25869,26239,TRUE,TRUE
238,11:28.8,15:27.8,413,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,107,Ames St at Main St,42.3625,-71.08822,4264,Subscriber,1966,1,11381,-71.08537631,42.36845704,259919,-71.08550816,42.36192178,25888,26127,TRUE,TRUE
817,12:21.2,25:58.8,386,Sennott Park  Broadway at Norfolk Street,42.36860524,-71.09930186,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,374,Subscriber,1996,1,11343,-71.09880902,42.36981306,92072,-71.07938385,42.37213335,25941,26758,TRUE,TRUE
506,12:40.9,21:07.4,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,115,Porter Square Station,42.387995,-71.119084,2768,Subscriber,1989,2,257095,-71.11983826,42.37450264,34059,-71.12113557,42.38656194,25960,26467,TRUE,TRUE
738,12:44.7,25:02.8,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,107,Ames St at Main St,42.3625,-71.08822,2317,Subscriber,1989,2,37463,-71.11400697,42.36890125,4347,-71.09057153,42.36162,25964,26702,TRUE,TRUE
499,13:32.2,21:51.5,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,381,Inman Square at Springfield St.,42.37438409,-71.10015746,5174,Subscriber,1996,2,259416,-71.07545644,42.37210058,15966,-71.1027935,42.37274556,26012,26511,TRUE,TRUE
347,13:43.2,19:31.0,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119728,-71.09759867,80,MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601,3347,Subscriber,1993,1,65893,-71.09588375,42.37182635,28707,-71.09415183,42.36077089,26023,26370,TRUE,TRUE
467,13:50.1,21:37.4,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,398,75 Binney St,42.36550729,-71.0801376,6106,Subscriber,1995,1,126939,-71.09609146,42.37211121,69908,-71.08136973,42.36760126,26030,26497,TRUE,TRUE
1835,14:24.3,45:00.2,140,Danehy Park,42.388966,-71.132788,189,Kendall T,42.36242784,-71.08495474,2566,Subscriber,1962,1,116057,-71.13355107,42.38992606,259920,-71.08765373,42.36325299,26064,27900,TRUE,TRUE
1649,14:48.7,42:18.3,335,Harvard St at Greene-Rose Heritage Park,42.36599433,-71.09522222,70,Harvard Kennedy School at Bennett St / Eliot St,42.3722168,-71.12188071,3298,Subscriber,1997,2,20743,-71.09492274,42.36779171,257086,-71.12039332,42.3738985,26088,27738,TRUE,TRUE
428,15:12.6,22:21.2,386,Sennott Park  Broadway at Norfolk Street,42.36860524,-71.09930186,185,Third at Binney,42.36544486,-71.08277142,5437,Subscriber,1997,1,63837,-71.0996724,42.37089375,90856,-71.08301297,42.36747776,26112,26541,TRUE,TRUE
560,15:15.4,24:35.9,105,Lower Cambridgeport at Magazine St / Riverside Rd,42.3572185,-71.11387163,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,2282,Subscriber,1997,2,59330,-71.1133398,42.35816215,134880,-71.10598054,42.37301373,26115,26675,TRUE,TRUE
231,16:12.8,20:04.7,413,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,185,Third at Binney,42.36544486,-71.08277142,2703,Subscriber,1988,2,102885,-71.08460827,42.37143208,69908,-71.08136973,42.36760126,26172,26404,TRUE,TRUE
907,18:27.6,33:35.3,115,Porter Square Station,42.387995,-71.119084,117,Binney St / Sixth St,42.36608797,-71.08633604,4112,Subscriber,1969,1,32627,-71.12070809,42.38931268,101959,-71.0846711,42.3680029,26307,27215,TRUE,TRUE
885,18:28.2,33:14.1,115,Porter Square Station,42.387995,-71.119084,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,4179,Subscriber,1971,2,95982,-71.1204932,42.38888805,20708,-71.09244445,42.36883015,26308,27194,TRUE,TRUE
1027,18:47.0,35:54.8,115,Porter Square Station,42.387995,-71.119084,318,Ames St at Broadway,42.3636929,-71.0875672,5024,Subscriber,1972,2,6041,-71.11717176,42.38638162,91900,-71.09058495,42.36456765,26327,27354,TRUE,TRUE
631,19:37.2,30:09.1,179,MIT Vassar St,42.35560121,-71.10394478,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,5364,Subscriber,1996,2,85747,-71.10724038,42.35589893,4880,-71.10111233,42.36495847,26377,27009,TRUE,TRUE
822,19:47.1,33:29.5,115,Porter Square Station,42.387995,-71.119084,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,3933,Subscriber,1966,1,6014,-71.12155273,42.38710534,190908,-71.09288434,42.36739119,26387,27209,TRUE,TRUE
731,20:07.9,32:19.7,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,413,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,3013,Subscriber,1987,2,133410,-71.1143895,42.36553915,103018,-71.08367671,42.36810268,26407,27139,TRUE,TRUE
504,20:35.8,29:00.5,367,Vassal Lane at Tobin/VLUS,42.38393225,-71.13961272,115,Porter Square Station,42.387995,-71.119084,4133,Subscriber,1979,1,6158,-71.13674523,42.38437073,225782,-71.12054699,42.38618128,26435,26940,TRUE,TRUE
293,20:40.4,25:33.5,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,80,MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601,2352,Subscriber,1987,1,69980,-71.09825448,42.35935225,69970,-71.0886759,42.36022586,26440,26733,TRUE,TRUE
