activity_id,start_latitude,start_longitude,end_latitude,end_longitude,travel_purpose,start_t,Unnamed: 7,duration_minutes,distance_miles,start_hour,same_place,day,Unnamed: 13,Unnamed: 14,formatted_date_column
9.29e+18,42.372246000000004,-71.07982,42.398641,-71.133083,EAT,2022-10-12 07:21:00,,12,5.351093011000001,7,No,1,,,2022-10-12 07:21:00.000000
1.45e+19,42.361649,-71.09047,42.362934,-71.082109,EAT,2022-10-12 07:23:00,,1,0.6823797659999999,7,No,1,,,2022-10-12 07:23:00.000000
4.39e+18,42.365244,-71.08233299999999,42.365952,-71.082562,EAT,2022-10-12 07:24:00,,5,0.29362119,7,No,1,,,2022-10-12 07:24:00.000000
7.97e+18,42.384488,-71.11983000000001,42.382449,-71.120062,EAT,2022-10-12 07:24:00,,3,0.17933629899999998,7,No,1,,,2022-10-12 07:24:00.000000
2.32e+18,42.389362,-71.119548,42.375352,-71.10699,EAT,2022-10-12 07:25:00,,22,2.168138946,7,No,1,,,2022-10-12 07:25:00.000000
4.7e+18,42.37175,-71.084037,42.372456,-71.08611199,EAT,2022-10-12 07:25:00,,1,0.076535845,7,No,1,,,2022-10-12 07:25:00.000000
1.57e+19,42.374189,-71.121151,42.37578268,-71.15224963,EAT,2022-10-12 07:25:00,,4,2.0076993709999997,7,No,1,,,2022-10-12 07:25:00.000000
1.36e+19,42.372027,-71.120423,42.37619556,-71.10910822,EAT,2022-10-12 07:26:00,,2,0.837291536,7,No,1,,,2022-10-12 07:26:00.000000
5.85e+18,42.365028,-71.102423,42.3628369,-71.0998704,EAT,2022-10-12 07:26:00,,14,0.772814947,7,No,1,,,2022-10-12 07:26:00.000000
1.56e+19,42.365028,-71.102423,42.372456,-71.08611199,EAT,2022-10-12 07:26:00,,4,1.670265345,7,No,1,,,2022-10-12 07:26:00.000000
9.55e+18,42.365028,-71.102423,42.369951799999996,-71.1131418,EAT,2022-10-12 07:26:00,,14,0.756072922,7,No,1,,,2022-10-12 07:26:00.000000
9.22e+18,42.365028,-71.102423,42.3727033,-71.11081269,EAT,2022-10-12 07:26:00,,1,0.612890616,7,No,1,,,2022-10-12 07:26:00.000000
1.36e+19,42.365028,-71.102423,42.369951799999996,-71.1131418,EAT,2022-10-12 07:26:00,,16,0.859214439,7,No,1,,,2022-10-12 07:26:00.000000
8.95e+18,42.372027,-71.120423,42.36852761,-71.1081753,EAT,2022-10-12 07:27:00,,1,0.539097704,7,No,1,,,2022-10-12 07:27:00.000000
4.04e+18,42.362782,-71.09388,42.370582,-71.0773,EAT,2022-10-12 07:27:00,,5,1.990270084,7,No,1,,,2022-10-12 07:27:00.000000
4.44e+17,42.360789000000004,-71.096565,42.3576039,-71.10705773,EAT,2022-10-12 07:27:00,,2,0.996244702,7,No,1,,,2022-10-12 07:27:00.000000
2.67e+18,42.360789000000004,-71.096565,42.35609748,-71.10904106,EAT,2022-10-12 07:27:00,,13,0.711137598,7,No,1,,,2022-10-12 07:27:00.000000
1.28e+19,42.38192,-71.119949,42.37507907,-71.10971221,EAT,2022-10-12 07:27:00,,6,1.056582072,7,No,1,,,2022-10-12 07:27:00.000000
2.03e+18,42.371959999999994,-71.075408,42.371713,-71.07410300000001,EAT,2022-10-12 07:27:00,,2,0.14092543,7,No,1,,,2022-10-12 07:27:00.000000
8.37e+18,42.365028,-71.102423,42.35697656,-71.10697907,EAT,2022-10-12 07:29:00,,2,0.728435617,7,No,1,,,2022-10-12 07:29:00.000000
3.87e+18,42.365028,-71.102423,42.35757767,-71.10592638,EAT,2022-10-12 07:29:00,,3,1.197949326,7,No,1,,,2022-10-12 07:29:00.000000
7.08e+17,42.361649,-71.09047,42.38860181,-71.12208504,EAT,2022-10-12 07:30:00,,11,4.462818743,7,No,1,,,2022-10-12 07:30:00.000000
6.4e+18,42.361649,-71.09047,42.3788163,-71.12039240000001,EAT,2022-10-12 07:30:00,,8,3.387845757,7,No,1,,,2022-10-12 07:30:00.000000
9.85e+18,42.365244,-71.08233299999999,42.359209899999996,-71.1108903,EAT,2022-10-12 07:30:00,,4,1.684953746,7,No,1,,,2022-10-12 07:30:00.000000
1.21e+19,42.366069,-71.105366,42.35895332,-71.10904387,EAT,2022-10-12 07:31:00,,2,0.818416444,7,No,1,,,2022-10-12 07:31:00.000000
1.26e+19,42.366069,-71.105366,42.35906831,-71.10849876,EAT,2022-10-12 07:31:00,,4,0.832827373,7,No,1,,,2022-10-12 07:31:00.000000
1.18e+19,42.367946999999994,-71.09784300000001,42.36829326,-71.09776564,EAT,2022-10-12 07:32:00,,1,0.066766868,7,No,1,,,2022-10-12 07:32:00.000000
1.59e+19,42.362782,-71.09388,42.364369,-71.081379,EAT,2022-10-12 07:32:00,,3,1.2822599940000001,7,No,1,,,2022-10-12 07:32:00.000000
6.36e+18,42.363335,-71.100716,42.36332159,-71.1024369,EAT,2022-10-12 07:32:00,,1,0.054507365,7,No,1,,,2022-10-12 07:32:00.000000
1.72e+19,42.361649,-71.09047,42.372997399999996,-71.07877302,EAT,2022-10-12 07:33:00,,10,1.58143512,7,No,1,,,2022-10-12 07:33:00.000000
9.91e+18,42.377946,-71.107261,42.37804542,-71.11049485,EAT,2022-10-12 07:34:00,,6,0.317671944,7,No,1,,,2022-10-12 07:34:00.000000
5.08e+18,42.360789000000004,-71.096565,42.360184999999994,-71.094321,EAT,2022-10-12 07:34:00,,19,1.026681755,7,No,1,,,2022-10-12 07:34:00.000000
4.45e+18,42.374189,-71.121151,42.37231411,-71.1092493,EAT,2022-10-12 07:34:00,,2,0.8380618790000001,7,No,1,,,2022-10-12 07:34:00.000000
1.59e+19,42.373387,-71.094985,42.355948,-71.112668,EAT,2022-10-12 07:34:00,,5,2.404157214,7,No,1,,,2022-10-12 07:34:00.000000
1.01e+19,42.361649,-71.09047,42.36263624,-71.08273467,EAT,2022-10-12 07:34:00,,2,0.14984287400000001,7,No,1,,,2022-10-12 07:34:00.000000
6.13e+18,42.365244,-71.08233299999999,42.362934,-71.082109,EAT,2022-10-12 07:34:00,,2,0.113665741,7,No,1,,,2022-10-12 07:34:00.000000
1.32e+19,42.360789000000004,-71.096565,42.358764,-71.09635899999999,EAT,2022-10-12 07:34:00,,1,0.625470521,7,No,1,,,2022-10-12 07:34:00.000000
1.08e+18,42.384488,-71.11983000000001,42.39656398,-71.12870704,EAT,2022-10-12 07:35:00,,3,1.1809174709999999,7,No,1,,,2022-10-12 07:35:00.000000
2.36e+17,42.372246000000004,-71.07982,42.37015099,-71.08790781,EAT,2022-10-12 07:36:00,,9,0.514276066,7,No,1,,,2022-10-12 07:36:00.000000
1.59e+19,42.389362,-71.119548,42.38978378,-71.12250901,EAT,2022-10-12 07:36:00,,4,0.20957719800000002,7,No,1,,,2022-10-12 07:36:00.000000
7.65e+17,42.359066,-71.09474399999999,42.356409,-71.108007,EAT,2022-10-12 07:37:00,,4,0.20747009,7,No,1,,,2022-10-12 07:37:00.000000
1.29e+19,42.365244,-71.08233299999999,42.365952,-71.082562,EAT,2022-10-12 07:38:00,,3,0.1941236,7,No,1,,,2022-10-12 07:38:00.000000
1.11e+18,42.361649,-71.09047,42.365003,-71.087029,EAT,2022-10-12 07:39:00,,1,0.527095537,7,No,1,,,2022-10-12 07:39:00.000000
1.57e+19,42.369371,-71.077051,42.35959393,-71.10539064,EAT,2022-10-12 07:39:00,,8,3.069812372,7,No,1,,,2022-10-12 07:39:00.000000
3.27e+18,42.374189,-71.121151,42.373902,-71.119647,EAT,2022-10-12 07:40:00,,1,0.057861323,7,No,1,,,2022-10-12 07:40:00.000000
