activity_id,start_latitude,start_longitude,end_latitude,end_longitude,travel_purpose,start_t,,duration_minutes,distance_miles,start_hour,same_place,day,,
1.14E+18,42.365028,-71.102423,42.36919363,-71.09943135,EAT,10/12/22 7:48,,2,0.103976197,7,No,1,,
1.77E+19,42.361649,-71.09047,42.36017647,-71.08576965,EAT,10/12/22 7:48,,5,0.291672506,7,No,1,,
8.24E+18,42.37196,-71.075408,42.371713,-71.074103,EAT,10/12/22 7:49,,1,0.055918226,7,No,1,,
9.18E+18,42.374189,-71.121151,42.3777578,-71.14162639,EAT,10/12/22 7:49,,3,1.530686019,7,No,1,,
1.08E+19,42.3734,-71.099827,42.373762,-71.099877,EAT,10/12/22 7:50,,1,0.076675942,7,No,1,,
9.87E+18,42.359757,-71.101863,42.362779,-71.101189,EAT,10/12/22 7:52,,1,0.097052972,7,No,1,,
1.56E+19,42.372246,-71.07982,42.37059436,-71.0805189,EAT,10/12/22 7:52,,1,0.081829957,7,No,1,,
9.10E+18,42.365028,-71.102423,42.38178482,-71.13868349,EAT,10/12/22 7:52,,22,2.540064227,7,No,1,,
1.24E+19,42.365028,-71.102423,42.382449,-71.120062,EAT,10/12/22 7:52,,5,2.06643873,7,No,1,,
7.82E+18,42.365028,-71.102423,42.382673,-71.123538,EAT,10/12/22 7:52,,6,2.280607392,7,No,1,,
1.69E+19,42.365028,-71.102423,42.38484929,-71.1263931,EAT,10/12/22 7:52,,6,2.308407779,7,No,1,,
1.39E+19,42.365028,-71.102423,42.354988,-71.103274,EAT,10/12/22 7:53,,3,1.040618146,7,No,1,,
1.05E+18,42.365028,-71.102423,42.367479,-71.100902,EAT,10/12/22 7:53,,3,0.155949657,7,No,1,,
1.84E+19,42.361649,-71.09047,42.354988,-71.103274,EAT,10/12/22 7:53,,5,2.07417367,7,No,1,,
2.38E+18,42.360789,-71.096565,42.35622509,-71.10743209,EAT,10/12/22 7:53,,2,0.85805514,7,No,1,,
6.75E+18,42.362782,-71.09388,42.36756082,-71.08145958,EAT,10/12/22 7:54,,3,1.276499287,7,No,1,,
1.96E+18,42.362782,-71.09388,42.363579,-71.099631,EAT,10/12/22 7:54,,1,0.089231912,7,No,1,,
1.75E+19,42.384488,-71.11983,42.389998,-71.118292,EAT,10/12/22 7:55,,1,0.424458685,7,No,1,,
3.83E+18,42.370698,-71.113341,42.38148731,-71.12014235,EAT,10/12/22 7:55,,17,0.928402738,7,No,1,,
1.74E+19,42.361649,-71.09047,42.360623,-71.08743,EAT,10/12/22 7:55,,4,0.228348161,7,No,1,,
1.74E+18,42.37175,-71.084037,42.37152718,-71.0819841,EAT,10/12/22 7:55,,1,0.370671623,7,No,1,,
4.76E+17,42.38192,-71.119949,42.369328,-71.11075,EAT,10/12/22 7:56,,3,1.316520441,7,No,1,,
4.80E+18,42.363335,-71.100716,42.35908765,-71.10652353,EAT,10/12/22 7:58,,15,0.818408326,7,No,1,,
1.43E+19,42.365244,-71.082333,42.35957296,-71.10646179,EAT,10/12/22 7:58,,4,1.759493834,7,No,1,,
1.42E+19,42.37175,-71.084037,42.3707346,-71.10320628,EAT,10/12/22 7:58,,4,1.302878732,7,No,1,,
3.83E+18,42.365244,-71.082333,42.364793,-71.083131,EAT,10/12/22 7:58,,2,0.120967336,7,No,1,,
1.61E+19,42.362782,-71.09388,42.363579,-71.099631,EAT,10/12/22 7:59,,2,0.133771027,7,No,1,,
2.26E+18,42.360789,-71.096565,42.36203506,-71.11032489,EAT,10/12/22 7:59,,2,0.771468124,7,No,1,,
1.12E+19,42.367947,-71.097843,42.362183,-71.100137,EAT,10/12/22 8:00,,2,0.878125905,8,No,1,,
1.11E+19,42.382398,-71.119984,42.38160459,-71.11250048,EAT,10/12/22 8:00,,1,0.442021316,8,No,1,,
6.84E+18,42.374306,-71.119126,42.396779,-71.129895,EAT,10/12/22 8:00,,5,1.882596757,8,No,1,,
1.47E+19,42.382398,-71.119984,42.381345,-71.129702,EAT,10/12/22 8:00,,3,1.089872793,8,No,1,,
1.52E+19,42.374306,-71.119126,42.372004,-71.120343,EAT,10/12/22 8:02,,3,0.206300206,8,No,1,,
7.53E+18,42.373371,-71.118965,42.374873,-71.118216,EAT,10/12/22 8:02,,3,1.084440153,8,No,1,,
4.59E+14,42.369628,-71.1114,42.3687212,-71.115319,EAT,10/12/22 8:02,,3,0.171077613,8,No,1,,
1.32E+19,42.373371,-71.118965,42.371219,-71.117438,EAT,10/12/22 8:02,,3,0.204580328,8,No,1,,
1.39E+19,42.373371,-71.118965,42.371219,-71.117438,EAT,10/12/22 8:02,,2,0.154781365,8,No,1,,
8.64E+18,42.394752,-71.126895,42.39126598,-71.13030672,EAT,10/12/22 8:04,,1,0.436920777,8,No,1,,
2.02E+18,42.373371,-71.118965,42.38182415,-71.1362588,EAT,10/12/22 8:04,,5,2.507503933,8,No,1,,
1.63E+19,42.371654,-71.086311,42.36784513,-71.07950572,EAT,10/12/22 8:05,,1,0.637407026,8,No,1,,
9.38E+18,42.371476,-71.081655,42.3646724,-71.08384421,EAT,10/12/22 8:05,,2,0.732239826,8,No,1,,
